Movie,IMDB
Angels & Demons,tt0808151
Miss Congeniality,tt0212346
Sin City: A Dame to Kill For,tt0458481
Licence to Kill,tt0097742
Pride and Prejudice and Zombies,tt1374989
The Guest,tt2980592
Real Steel,tt0433035
Silverado,tt0090022
R.I.P.D.,tt0790736
The Island,tt0399201
Young Guns,tt0096487
Terminator Salvation,tt0438488
Assassin's Creed,tt2094766
One Way,tt13075730
Hulk,tt0286716
Vikram Vedha,tt13131350
Last Action Hero,tt0107362
Conan the Barbarian,tt0816462
Rambo,tt0462499
The Witch: Part 2 - The Other One,tt13721828
Eragon,tt0449010
The Chronicles of Narnia: Prince Caspian,tt0499448
The Heat,tt2404463
Daredevil,tt0287978
Allegiant,tt3410834
King Arthur,tt0349683
Rise of the Planet of the Apes,tt1318514
Jumper,tt0489099
Godzilla: King of the Monsters,tt3741700
Live and Let Die,tt0070328
Beverly Hills Cop II,tt0092644
Chaos Walking,tt2076822
X-Men: The Last Stand,tt0376994
Die Hard 2,tt0099423
The Sum of All Fears,tt0164184
Lethal Weapon 3,tt0104714
U.S. Marshals,tt0120873
The Three Musketeers,tt0108333
How to Train Your Dragon 2,tt1646971
The Italian Job,tt0064505
21 Bridges,tt8688634
Trauma,tt6705640
No Escape,tt1781922
Bronson,tt1172570
Unstoppable,tt0477080
In the Heart of the Sea,tt1390411
Payback,tt0120784
The Man in the Iron Mask,tt0120744
Gran Turismo,tt4495098
The Cannonball Run,tt0082136
The Expendables 3,tt2333784
We Were Soldiers,tt0277434
Predator 2,tt0100403
Jurassic Park III,tt0163025
Flags of Our Fathers,tt0418689
Furiosa,tt12037194
The Man with the Golden Gun,tt0071807
This Means War,tt1596350
The Lord of the Rings: The War of the Rohirrim,tt14824600
The Raid: Redemption,tt1899353
Team America: World Police,tt0372588
The Brothers Grimsby,tt3381008
Octopussy,tt0086034
The Lego Batman Movie,tt4116284
Jolt,tt10228134
The Bourne Ultimatum,tt0440963
Snow White and the Huntsman,tt1735898
Prince of Persia: The Sands of Time,tt0473075
Hancock,tt0448157
Entrapment,tt0137494
Rango,tt1192628
The Spy Who Loved Me,tt0076752
Ghostbusters: Answer the Call,tt1289401
Surrogates,tt0986263
The Mortal Instruments: City of Bones,tt1538403
Peter Pan & Wendy,tt5635026
Sahara,tt0318649
Michael,tt15309808
Guns Akimbo,tt6902676
The Witch: Part 1 - The Subversion,tt8574252
Escape Room: Tournament of Champions,tt9844522
The Life Aquatic with Steve Zissou,tt0362270
The Colony,tt6506264
Austin Powers in Goldmember,tt0295178
In the Line of Fire,tt0107206
Sherlock Holmes: A Game of Shadows,tt1515091
Mile 22,tt4560436
Baahubali: The Beginning,tt2631186
Dragged Across Concrete,tt6491178
Unhinged,tt10059518
The Rocketeer,tt0102803
The Girl in the Spider's Web,tt5177088
War for the Planet of the Apes,tt3450958
Juice,tt0104573
Dawn of the Planet of the Apes,tt2103281
The Last Witch Hunter,tt1618442
Journey to the Center of the Earth,tt0373051
Hitman,tt0465494
Exodus: Gods and Kings,tt1528100
The Princess,tt13406136
Jack the Giant Slayer,tt1351685
Sand Castle,tt2582576
Live by Night,tt2361317
Fantastic Four,tt0120667
Rampage,tt2231461
The Last Boy Scout,tt0102266
Jack Ryan: Shadow Recruit,tt1205537
30 Days of Night,tt0389722
RoboCop 2,tt0100502
Flash Gordon,tt0080745
Teenage Mutant Ninja Turtles: Out of the Shadows,tt3949660
Crank,tt0479884
Superhero Movie,tt0426592
Sanctioning Evil,tt12844586
Bright,tt5519340
The Bad Batch,tt4334266
Pan,tt3332064
Days of Thunder,tt0099371
Savage Salvation,tt13055982
The Scorpion King,tt0277296
The French Connection,tt0067116
Sherlock Holmes 3,tt2094116
Hot Shots!,tt0102059
Chip 'n Dale: Rescue Rangers,tt3513500
Body of Lies,tt0758774
The A-Team,tt0429493
Independence Day: Resurgence,tt1628841
Mortal Kombat,tt0113855
Panama,tt4029412
The Shallows,tt4052882
Charlie's Angels,tt0160127
Assassin Club,tt7720142
Lethal Weapon 5,tt16101924
Never Back Down,tt1023111
The Transporter,tt0293662
Project Power,tt7550000
RoboCop,tt1234721
Hansel & Gretel: Witch Hunters,tt1428538
Street Fighter,tt0111301
Cliffhanger,tt0106582
Grindhouse,tt0462322
Vertical Limit,tt0190865
Rogue,tt0479528
G.I. Joe: Retaliation,tt1583421
2 Guns,tt1272878
Walking Tall,tt0351977
Kung Fu Hustle,tt0373074
The Iron Giant,tt0129167
CHIPS,tt0493405
Hollow Man,tt0164052
Heist,tt3276924
Hunt,tt6931658
The Last Starfighter,tt0087597
Anaconda,tt0118615
Extinction,tt3201640
Morgan,tt4520364
Havoc,tt14123284
Imani,tt21967864
The Return of Swamp Thing,tt0098193
Security,tt3501112
The American,tt1440728
Rat Race,tt0250687
Ghost in the Shell,tt0113568
Dante's Peak,tt0118928
Cobra,tt0090859
American Assassin,tt1961175
Alien vs. Predator,tt0370263
How It Ends,tt5246700
Open Range,tt0316356
Non-Stop,tt2024469
Ronin,tt0122690
For Your Eyes Only,tt0082398
The Postman,tt0119925
Horizon Line,tt5498354
Kung Fu Panda 4,tt21692408
Knight and Day,tt1013743
Pandorum,tt1188729
Never Say Never Again,tt0086006
Men in Black: International,tt2283336
Dick Tracy,tt0037642
Faraaz,tt15175188
The Taking of Pelham 123,tt1111422
Pain & Gain,tt1980209
Assassin,tt14555174
Road House,tt3359350
Wyatt Earp,tt0111756
Escape Plan,tt1211956
Predators,tt1424381
Bonnie and Clyde,tt0061418
Kick-Ass 2,tt1650554
Unknown,tt1401152
News of the World,tt6878306
Innerspace,tt0093260
Star Trek II: The Wrath of Khan,tt0084726
The Weapon,tt18228142
Blade II,tt0187738
How I Live Now,tt1894476
Blade: Trinity,tt0359013
Blood Red Sky,tt6402468
Wild Hogs,tt0486946
Chappie,tt1823672
